,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,5 Series,2020,30949,Semi-Auto,17374,Diesel,47.9,2.0,bmw,30384661
1,6 Series,2014,19195,Automatic,42944,Diesel,49.6,3.0,bmw,30538960
2,1 Series,2015,8495,Manual,81000,Diesel,72.4,1.5,bmw,30582005
3,2 Series,2020,25495,Automatic,42339,Diesel,53.3,2.0,bmw,30582010
4,1 Series,2020,25499,Semi-Auto,1170,Petrol,40.4,1.5,bmw,30289979
5,2 Series,2022,29049,Manual,5445,Petrol,45.6,1.5,bmw,30572207
6,2 Series,2019,20349,Semi-Auto,8177,Diesel,None,2.0,bmw,30267208
7,3 Series,2018,21399,Semi-Auto,9952,Diesel,64.2,2.0,bmw,30251067
8,1 Series,2021,23799,Semi-Auto,12963,Petrol,None,1.5,bmw,30208474
9,1 Series,2020,24499,Semi-Auto,13896,Petrol,40.4,1.5,bmw,30572345
10,1 Series,2019,15649,Manual,60132,Petrol,52.3,1.5,bmw,30498679
11,2 Series,2017,14499,Semi-Auto,63531,Petrol,50.4,1.5,bmw,30348832
12,5 Series,2019,25049,Semi-Auto,21192,Petrol,50.4,2.0,bmw,30531540
13,1 Series,2020,19699,Manual,21670,Petrol,44.8,1.5,bmw,30551734
14,1 Series,2020,21949,Manual,22099,Petrol,41.5,1.5,bmw,30484640
15,1 Series,2019,22299,Semi-Auto,22153,Petrol,40.4,1.5,bmw,30260974
16,2 Series,2019,19249,Semi-Auto,22166,Petrol,38.2,2.0,bmw,30557562
17,5 Series,2019,26899,Semi-Auto,22565,Petrol,47.9,2.0,bmw,30373300
18,1 Series,2017,15099,Manual,22811,Petrol,52.3,1.5,bmw,30447991
19,1 Series,2020,21149,Manual,22862,Petrol,41.5,1.5,bmw,30260985
20,X1,2018,21949,Semi-Auto,23119,Petrol,37.7,2.0,bmw,30284856
21,X1,2019,23449,Semi-Auto,23632,Petrol,39.2,2.0,bmw,30557537
22,X2,2019,16049,Manual,57066,Diesel,55.4,2.0,bmw,30447863
23,1 Series,2017,21849,Semi-Auto,36886,Petrol,39.8,3.0,bmw,30448021
24,2 Series,2020,22599,Semi-Auto,24341,Petrol,38.7,1.5,bmw,30531395
25,3 Series,2019,24499,Semi-Auto,24345,Diesel,52.3,2.0,bmw,30557473
26,2 Series,2018,17299,Manual,24697,Petrol,52.3,1.5,bmw,30384673
27,X1,2020,23199,Automatic,25060,Petrol,41.5,1.5,bmw,30562674
28,X1,2018,23299,Semi-Auto,25300,Petrol,35.3,2.0,bmw,30498557
29,X1,2019,23699,Semi-Auto,25503,Petrol,39.2,2.0,bmw,30484951
30,2 Series,2018,17549,Semi-Auto,25731,Petrol,53.3,1.5,bmw,30531405
31,1 Series,2018,15849,Semi-Auto,35119,Petrol,55.5,1.5,bmw,30480214
32,2 Series,2019,22049,Semi-Auto,27177,Diesel,47.9,2.0,bmw,30557556
33,1 Series,2017,16699,Semi-Auto,27540,Diesel,68.9,2.0,bmw,30498674
34,2 Series,2019,20799,Semi-Auto,27570,Petrol,38.7,1.5,bmw,30448077
35,X1,2016,16949,Semi-Auto,43019,Diesel,60.1,2.0,bmw,30348889
36,1 Series,2019,18999,Semi-Auto,27470,Petrol,54.3,1.5,bmw,30572204
37,1 Series,2017,16699,Semi-Auto,27540,Diesel,68.9,2.0,bmw,30498674
38,2 Series,2019,20799,Semi-Auto,27570,Petrol,38.7,1.5,bmw,30448077
