,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,3 Series,2018,20499,Semi-Auto,24882,Petrol,47.9,2.0,bmw,30308127
1,6 Series,2010,9490,Automatic,83000,Diesel,39.2,3.0,bmw,30579109
2,i8,2017,39495,Automatic,66000,Other,134.5,1.5,bmw,30398367
3,X2,2020,24395,Automatic,36128,Petrol,36.2,2.0,bmw,28931424
4,1 Series,2019,11395,Manual,83777,Diesel,78.5,1.5,bmw,29993655
5,5 Series,2015,13880,Automatic,90000,Diesel,51.4,2.0,bmw,30538969
6,M3,2017,33995,Automatic,34779,Petrol,34,3.0,bmw,30159868
7,1 Series,2014,12495,Manual,40278,Diesel,58.9,2.0,bmw,29403184
8,X2,2019,17299,Manual,27522,Petrol,41.5,1.5,bmw,30125064
9,X6,2022,89995,Automatic,1501,Petrol,23,4.4,bmw,30348513
10,1 Series,2023,34995,Automatic,3458,Petrol,34.5,2.0,bmw,30539086
11,4 Series,2017,17849,Semi-Auto,49985,Diesel,65.7,2.0,bmw,30251074
12,5 Series,2019,25049,Semi-Auto,21192,Petrol,50.4,2.0,bmw,30531540
13,X5,2023,71995,Automatic,5716,Other,37.2,3.0,bmw,30443974
14,4 Series,2021,84995,Automatic,8500,Petrol,28,3.0,bmw,29941897
15,4 Series,2022,39995,Automatic,17015,Other,50.4,3.0,bmw,29931793
16,M3,2021,58995,Automatic,26689,Petrol,27.7,3.0,bmw,30539114
17,1 Series,2020,21995,Automatic,27440,Diesel,57.7,1.5,bmw,30557055
18,1 Series,2020,19995,Manual,28682,Diesel,56.5,2.0,bmw,30437923
19,X3,2018,27495,Automatic,29111,Diesel,54.3,2.0,bmw,30389113
20,1 Series,2019,13995,Manual,34367,Petrol,38.7,1.5,bmw,30539116
21,X3,2019,37995,Automatic,35371,Petrol,34.5,3.0,bmw,30176742
22,1 Series,2018,14695,Manual,40461,Petrol,52.3,1.5,bmw,30246151
23,X1,2019,23049,Semi-Auto,32531,Petrol,39.2,2.0,bmw,30490069
24,1 Series,2018,14499,Semi-Auto,36010,Diesel,50.4,1.5,bmw,30417106
25,5 Series,2018,19795,Automatic,42899,Diesel,68.9,2.0,bmw,30539118
26,X3,2017,17995,Automatic,43836,Diesel,54.3,2.0,bmw,30568131
27,2 Series,2020,22495,Automatic,44226,Diesel,53.3,2.0,bmw,30346648
28,3 Series,2019,21995,Manual,46034,Diesel,54.3,2.0,bmw,30070361
29,1 Series,2020,19995,Manual,46402,Petrol,41.5,1.5,bmw,30437924
30,5 Series,2017,23995,Automatic,50644,Petrol,39.2,3.0,bmw,30539119
31,3 Series,2019,19995,Automatic,50970,Diesel,53.3,3.0,bmw,30539122
32,5 Series,2018,20995,Automatic,51069,Diesel,65.7,2.0,bmw,29576755
