,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,X4,2017,20299,Semi-Auto,61664,Diesel,54.3,2.0,bmw,30354545
1,5 Series,2020,25549,Semi-Auto,16837,Diesel,49.6,2.0,bmw,30046169
2,3 Series,2019,25549,Semi-Auto,16872,Petrol,42.2,2.0,bmw,30384460
3,2 Series,2018,19849,Semi-Auto,17178,Petrol,48.7,1.5,bmw,30476877
4,5 Series,2020,30949,Semi-Auto,17374,Diesel,47.9,2.0,bmw,30384661
5,1 Series,2019,17499,Manual,17709,Petrol,52.3,1.5,bmw,30233550
6,2 Series,2020,29299,Semi-Auto,17800,Petrol,36.2,2.0,bmw,30421728
7,1 Series,2020,20499,Manual,18126,Petrol,44.1,1.5,bmw,30490046
8,1 Series,2020,20349,Manual,18667,Petrol,44.1,1.5,bmw,30299805
9,1 Series,2016,15049,Semi-Auto,18797,Diesel,70.6,2.0,bmw,30295024
10,4 Series,2019,23049,Semi-Auto,18819,Petrol,48.7,2.0,bmw,30507551
11,2 Series,2016,11399,Manual,40390,Petrol,52.3,1.5,bmw,30447983
12,X2,2019,19299,Manual,18881,Petrol,42.8,1.5,bmw,30456288
13,1 Series,2020,23399,Semi-Auto,18906,Petrol,40.4,1.5,bmw,30290058
14,X2,2020,20999,Manual,19237,Diesel,55.4,2.0,bmw,30480277
15,1 Series,2021,25499,Semi-Auto,19299,Petrol,44.1,1.5,bmw,30354616
16,2 Series,2021,22499,Manual,19509,Petrol,47.1,1.5,bmw,30562778
17,1 Series,2020,21699,Manual,20110,Petrol,41.5,1.5,bmw,30460885
18,1 Series,2020,22299,Manual,20414,Petrol,41.5,1.5,bmw,30417161
19,X2,2018,22799,Semi-Auto,20969,Petrol,39.8,2.0,bmw,30308112
20,5 Series,2019,25049,Semi-Auto,21192,Petrol,50.4,2.0,bmw,30531540
21,1 Series,2020,20999,Semi-Auto,21454,Diesel,62.8,2.0,bmw,29826248
22,2 Series,2018,17549,Semi-Auto,25731,Petrol,53.3,1.5,bmw,30531405
23,1 Series,2019,18649,Manual,23718,Diesel,72.4,1.5,bmw,30354621
24,1 Series,2020,19699,Manual,21670,Petrol,44.8,1.5,bmw,30551734
25,1 Series,2020,21949,Manual,22099,Petrol,41.5,1.5,bmw,30484640
26,1 Series,2019,22299,Semi-Auto,22153,Petrol,40.4,1.5,bmw,30260974
27,2 Series,2019,19249,Semi-Auto,22166,Petrol,38.2,2.0,bmw,30557562
