,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,2 Series,2016,18299,Semi-Auto,40081,Petrol,35.8,3.0,bmw,30354503
1,3 Series,2015,12999,Automatic,71000,Diesel,65.7,2.0,bmw,30537483
2,X2,2019,20499,Semi-Auto,34588,Diesel,52.3,2.0,bmw,30582245
3,X1,2019,25899,Semi-Auto,14560,Petrol,39.2,2.0,bmw,30498571
4,1 Series,2017,14499,Manual,15477,Diesel,68.9,2.0,bmw,30507582
5,X2,2019,20799,Manual,15691,Diesel,55.4,2.0,bmw,30417398
6,5 Series,2020,25549,Semi-Auto,16837,Diesel,49.6,2.0,bmw,30046169
7,3 Series,2019,25549,Semi-Auto,16872,Petrol,42.2,2.0,bmw,30384460
8,2 Series,2018,19849,Semi-Auto,17178,Petrol,48.7,1.5,bmw,30476877
9,5 Series,2020,30949,Semi-Auto,17374,Diesel,47.9,2.0,bmw,30384661
10,1 Series,2019,17499,Manual,17709,Petrol,52.3,1.5,bmw,30233550
11,1 Series,2020,20349,Manual,18667,Petrol,44.1,1.5,bmw,30299805
12,X2,2019,19299,Manual,18881,Petrol,42.8,1.5,bmw,30456288
13,X3,2016,19499,Semi-Auto,44103,Diesel,54.3,2.0,bmw,30317223
14,2 Series,2020,22599,Manual,26572,Petrol,43.5,1.5,bmw,30485008
15,5 Series,2020,30949,Semi-Auto,17374,Diesel,47.9,2.0,bmw,30384661
16,1 Series,2019,17499,Manual,17709,Petrol,52.3,1.5,bmw,30233550
17,1 Series,2020,20349,Manual,18667,Petrol,44.1,1.5,bmw,30299805
18,X2,2019,19299,Manual,18881,Petrol,42.8,1.5,bmw,30456288
19,1 Series,2020,23399,Semi-Auto,18906,Petrol,40.4,1.5,bmw,30290058
20,2 Series,2021,22499,Manual,19509,Petrol,47.1,1.5,bmw,30562778
21,1 Series,2020,21699,Manual,20110,Petrol,41.5,1.5,bmw,30460885
22,1 Series,2020,22299,Manual,20414,Petrol,41.5,1.5,bmw,30417161
23,X2,2018,22799,Semi-Auto,20969,Petrol,39.8,2.0,bmw,30308112
24,2 Series,2020,23999,Semi-Auto,21145,Petrol,42.2,1.5,bmw,30447888
25,1 Series,2018,12849,Manual,52594,Diesel,53.3,1.5,bmw,30546363
26,X2,2019,18099,Manual,54399,Diesel,52.3,2.0,bmw,30551782
27,5 Series,2019,25049,Semi-Auto,21192,Petrol,50.4,2.0,bmw,30531540
28,1 Series,2020,19699,Manual,21670,Petrol,44.8,1.5,bmw,30551734
29,3 Series,2018,16849,Automatic,22078,Petrol,54.3,1.5,bmw,30577473
30,1 Series,2020,21949,Manual,22099,Petrol,41.5,1.5,bmw,30484640
31,1 Series,2019,22299,Semi-Auto,22153,Petrol,40.4,1.5,bmw,30260974
32,2 Series,2019,19249,Semi-Auto,22166,Petrol,38.2,2.0,bmw,30557562
33,5 Series,2019,26899,Semi-Auto,22565,Petrol,47.9,2.0,bmw,30373300
34,1 Series,2017,15099,Manual,22811,Petrol,52.3,1.5,bmw,30447991
35,1 Series,2020,21149,Manual,22862,Petrol,41.5,1.5,bmw,30260985
36,X1,2018,21949,Semi-Auto,23119,Petrol,37.7,2.0,bmw,30284856
37,1 Series,2018,24049,Semi-Auto,31588,Petrol,32.5,3.0,bmw,30572193
38,1 Series,2019,19299,Manual,23824,Petrol,None,1.5,bmw,30208511
39,X1,2019,23699,Semi-Auto,25503,Petrol,39.2,2.0,bmw,30484951
40,2 Series,2018,17549,Semi-Auto,25731,Petrol,53.3,1.5,bmw,30531405
41,X2,2018,21699,Semi-Auto,26071,Petrol,39.2,2.0,bmw,30476714
42,3 Series,2019,27299,Semi-Auto,26292,Diesel,48.7,2.0,bmw,30438249
43,4 Series,2018,26049,Semi-Auto,26809,Petrol,41.5,3.0,bmw,30531258
44,2 Series,2018,13999,Manual,26882,Diesel,58.9,1.5,bmw,30103605
45,2 Series,2019,22049,Semi-Auto,27177,Diesel,47.9,2.0,bmw,30557556
46,1 Series,2017,16699,Semi-Auto,27540,Diesel,68.9,2.0,bmw,30498674
47,2 Series,2019,20799,Semi-Auto,27570,Petrol,38.7,1.5,bmw,30448077
48,3 Series,2018,20049,Semi-Auto,27611,Diesel,64.2,2.0,bmw,30354612
49,X1,2018,23299,Semi-Auto,25300,Petrol,35.3,2.0,bmw,30498557
50,X1,2018,17649,Semi-Auto,49230,Diesel,60.1,2.0,bmw,30317340
51,3 Series,2016,16499,Semi-Auto,28481,Diesel,64.2,2.0,bmw,30460798
52,3 Series,2020,28249,Semi-Auto,28911,Diesel,56.5,2.0,bmw,30531536
