,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,2 Series,2016,11449,Manual,40390,Petrol,52.3,1.5,bmw,30447983
1,i3,2019,14499,White,Other,Automatic,None,,bmw,30553216
2,3 Series,2019,25299,Semi-Auto,54901,Diesel,49.6,3.0,bmw,30284899
3,4 Series,2018,19999,Automatic,52000,Diesel,58.9,2,bmw,30291606
4,X4,2017,22999,Automatic,53000,Diesel,47.9,3,bmw,29905815
5,6 Series,2017,21999,Automatic,55000,Diesel,49.6,3,bmw,28930398
6,4 Series,2018,23499,Automatic,55000,Diesel,49.6,3,bmw,28071109
7,2 Series,2015,11999,Manual,56000,Diesel,64.2,2,bmw,27535497
8,2 Series,2017,12999,Manual,60000,Petrol,52.3,1.5,bmw,27277767
9,M3,2013,23499,Semi-Auto,68000,Petrol,25.2,4,bmw,29170999
10,3 Series,2016,9999,Manual,89000,Diesel,67.3,2,bmw,27904173
11,1 Series,2015,7999,Manual,100000,Petrol,50.4,1.6,bmw,30105108
12,X5,2015,22999,Automatic,58000,Diesel,47.9,2,bmw,30604232
13,X2,2019,20799,Manual,15691,Diesel,55.4,2.0,bmw,30417398
14,4 Series,2018,18049,Manual,38179,Petrol,46.3,2.0,bmw,30608128
15,1 Series,2013,8995,Automatic,68313,Petrol,50.4,1.6,bmw,30305285
16,3 Series,2013,8995,Manual,88211,Diesel,60.1,2.0,bmw,30544577
17,3 Series,2019,17500,Semi-Auto,32005,Diesel,64.2,2,bmw,30241078
18,1 Series,2016,9495,Manual,78592,Petrol,53.3,1.5,bmw,30061017
19,3 Series,2010,5375,Manual,99316,Diesel,62.8,2.0,bmw,30122798
20,1 Series,2010,5295,Automatic,118800,Diesel,51.4,2.0,bmw,30428214
21,1 Series,2017,23391,Automatic,35000,Petrol,39.8,3.0,bmw,29933880
22,4 Series,2017,18861,Automatic,42000,Diesel,65.7,2.0,bmw,30226029
23,4 Series,2014,14491,Manual,63000,Diesel,53.3,2.0,bmw,30550139
24,1 Series,2017,17995,Automatic,34000,Diesel,67.3,2.0,bmw,30324264
25,1 Series,2016,16199,Semi-Auto,22621,Diesel,68.9,1.5,bmw,30572355
26,1 Series,2019,18199,Manual,33102,Diesel,50.4,1.5,bmw,30384543
27,3 Series,2017,23995,Automatic,34000,Diesel,51.4,3.0,bmw,30001170
28,1 Series,2019,14695,Manual,37000,Diesel,78.5,1.5,bmw,30537979
29,5 Series,2016,17495,Automatic,41700,Diesel,62.8,2.0,bmw,30001156
30,4 Series,2017,18995,Automatic,43000,Petrol,48.7,2.0,bmw,29930769
31,Z4,2014,13995,Manual,47000,Petrol,41.5,2.0,bmw,30556752
32,3 Series,2017,14495,Automatic,69720,Diesel,67.3,2.0,bmw,29930776
33,4 Series,2014,14995,Manual,71000,Diesel,53.3,2.0,bmw,30324278
34,4 Series,2015,14995,Automatic,75000,Diesel,58.9,2.0,bmw,30204565
35,3 Series,2014,11995,Manual,75800,Diesel,61.4,2.0,bmw,30537980
36,2 Series,2017,14294,Manual,30986,Petrol,48.7,1.5,bmw,28777305
37,1 Series,2016,14799,Semi-Auto,18797,Diesel,70.6,2.0,bmw,30295024
38,3 Series,2019,19049,Semi-Auto,42484,Diesel,64.2,2.0,bmw,30219164
39,Z3,2001,4995,Manual,54000,Petrol,35.8,1.9,bmw,28685256
40,2 Series,2018,14995,Manual,55000,Petrol,52.3,1.5,bmw,29940810
41,5 Series,2014,12995,Automatic,66000,Diesel,57.6,2.0,bmw,30466122
42,2 Series,2014,8995,Manual,70000,Petrol,57.6,1.5,bmw,30280264
43,3 Series,2015,15995,Automatic,73000,Diesel,51.4,3.0,bmw,29858307
44,4 Series,2015,10995,Manual,92981,Diesel,60.1,2.0,bmw,29517063
45,2 Series,2017,14294,Manual,30986,Petrol,48.7,1.5,bmw,28777305
46,3 Series,2018,14494,Manual,78000,Diesel,68.9,2.0,bmw,30161168
47,5 Series,2008,7499,Manual,91000,Diesel,None,2.0,bmw,27035286
48,3 Series,2006,4599,Manual,102000,Diesel,None,2.0,bmw,27035211
49,3 Series,2019,20699,Semi-Auto,44684,Diesel,54.3,2.0,bmw,30480312
50,5 Series,2016,15499,Semi-Auto,58313,Diesel,65.7,2.0,bmw,30546220
51,5 Series,2006,7599,Automatic,102000,Diesel,37.7,3.0,bmw,27035263
52,5 Series,2008,7000,Automatic,119000,Diesel,None,2.0,bmw,27035264
53,5 Series,2005,5499,Automatic,122000,Diesel,36.2,2.5,bmw,27035285
54,5 Series,2004,3799,Manual,159000,Diesel,42.2,2.5,bmw,27035253
55,X5,2001,3000,Automatic,160000,Diesel,29.1,2.9,bmw,27035312
56,3 Series,2007,4000,Manual,283000,Diesel,58.9,2.0,bmw,27035250
57,1 Series,2020,25499,Semi-Auto,1170,Petrol,40.4,1.5,bmw,30289979
58,2 Series,2022,29049,Manual,5445,Petrol,45.6,1.5,bmw,30572207
59,2 Series,2019,20349,Semi-Auto,8177,Diesel,None,2.0,bmw,30267208
60,1 Series,2022,34049,Semi-Auto,9019,Petrol,34.5,2.0,bmw,30476836
61,1 Series,2019,16849,Manual,48377,Petrol,52.3,1.5,bmw,30531366
62,4 Series,2020,21549,Semi-Auto,59423,Diesel,65.7,2.0,bmw,30531392
63,3 Series,2018,20699,Semi-Auto,9952,Diesel,64.2,2.0,bmw,30251067
64,1 Series,2020,21499,Manual,10964,Petrol,41.5,1.5,bmw,30161978
65,2 Series,2018,18949,Semi-Auto,12609,Diesel,51.4,2.0,bmw,30392913
66,1 Series,2021,23799,Semi-Auto,12963,Petrol,None,1.5,bmw,30208474
67,X1,2018,17049,Manual,13616,Diesel,60.1,2.0,bmw,30240300
68,1 Series,2020,24499,Semi-Auto,13896,Petrol,40.4,1.5,bmw,30572345
69,1 Series,2020,25749,Semi-Auto,14265,Petrol,40.4,1.5,bmw,30498579
70,X1,2019,25899,Semi-Auto,14560,Petrol,39.2,2.0,bmw,30498571
71,1 Series,2017,14499,Manual,15477,Diesel,68.9,2.0,bmw,30507582
72,X2,2019,20799,Manual,15691,Diesel,55.4,2.0,bmw,30417398
73,X3,2016,19499,Semi-Auto,44103,Diesel,54.3,2.0,bmw,30317223
74,5 Series,2019,24549,Semi-Auto,38052,Diesel,49.6,2.0,bmw,30603145
75,X2,2018,23249,Semi-Auto,15868,Petrol,39.2,2.0,bmw,30317285
76,1 Series,2019,19499,Manual,16522,Petrol,44.1,1.5,bmw,30490056
77,3 Series,2019,25549,Semi-Auto,16872,Petrol,42.2,2.0,bmw,30384460
78,1 Series,2020,22749,Manual,17004,Petrol,41.5,1.5,bmw,30572234
79,2 Series,2018,19849,Semi-Auto,17178,Petrol,48.7,1.5,bmw,30476877
80,5 Series,2020,30949,Semi-Auto,17374,Diesel,47.9,2.0,bmw,30384661
81,1 Series,2019,16749,Manual,17709,Petrol,52.3,1.5,bmw,30233550
82,2 Series,2020,29049,Semi-Auto,17800,Petrol,36.2,2.0,bmw,30421728
83,1 Series,2020,20049,Manual,18126,Petrol,44.1,1.5,bmw,30490046
84,1 Series,2020,20349,Manual,18667,Petrol,44.1,1.5,bmw,30299805
85,X1,2018,17049,Manual,48319,Diesel,68.9,2.0,bmw,30519546
86,1 Series,2019,15499,Manual,45502,Diesel,70.6,1.5,bmw,30294989
87,2 Series,2019,19249,Semi-Auto,22166,Petrol,38.2,2.0,bmw,30557562
