,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Up,2018,12399,Manual,16549,Petrol,50.4,1.0,volkswagen,30161852
1,Golf,2023,23200,Manual,5000,Petrol,51.4,1.5,volkswagen,30005872
2,Taigo,2023,23300,Manual,5000,Petrol,51.4,1,volkswagen,29721106
3,Golf,2023,23400,Manual,5000,Petrol,51.4,1.5,volkswagen,29721107
4,T-Cross,2023,23600,Manual,5000,Petrol,48.7,1,volkswagen,29986214
5,T-Cross,2023,23600,Manual,5000,Petrol,48.7,1,volkswagen,29860773
6,Golf,2023,23700,Manual,5000,Petrol,52.3,1.5,volkswagen,30151901
7,Golf,2023,24500,Manual,5000,Petrol,51.4,1.5,volkswagen,29860775
8,Taigo,2023,24700,Manual,5000,Petrol,51.4,1,volkswagen,30005871
9,Golf,2023,24700,Manual,5000,Petrol,49.6,1.5,volkswagen,29864411
10,T-Roc,2022,30400,Manual,5000,Petrol,47.1,1.5,volkswagen,29115196
11,Polo,2016,10899,Manual,20133,Petrol,60.1,1.0,volkswagen,30448061
12,Polo,2017,11849,N/A,21809,Petrol,60.1,1.2,volkswagen,30602957
13,Tiguan,2023,36600,Semi-Auto,5000,Diesel,49.6,2,volkswagen,30005866
14,Tiguan,2023,37200,Semi-Auto,5462,Diesel,49.6,2,volkswagen,30519791
15,Polo,2019,15700,Manual,6715,Petrol,52.3,1,volkswagen,30511212
16,T-Roc,2023,23900,Manual,7411,Petrol,47.1,1,volkswagen,30304490
17,T-Cross,2022,22900,Manual,11047,Petrol,47.9,1,volkswagen,28977276
18,Tiguan,2022,35300,Semi-Auto,16717,Diesel,44.1,2,volkswagen,29090735
19,Golf,2020,21400,Semi-Auto,24271,Hybrid,44.8,1.5,volkswagen,30421809
20,T-Cross,2021,20300,Manual,29800,Petrol,47.9,1,volkswagen,30227441
21,Golf,2020,19200,Semi-Auto,32577,Petrol,45.6,1.5,volkswagen,30511211
22,Golf,2023,29900,Semi-Auto,2987,Hybrid,49.6,1.5,volkswagen,30495100
23,Golf,2018,16049,Manual,21983,Petrol,58.9,1.5,volkswagen,30407527
24,Tiguan,2016,17399,Manual,42856,Diesel,50.4,2.0,volkswagen,30531465
25,Polo,2020,15600,Manual,12764,Petrol,50.4,1,volkswagen,30312341
26,T-Cross,2019,17900,Manual,15896,Petrol,47.9,1,volkswagen,28422752
27,Tiguan,2022,35300,Semi-Auto,16717,Diesel,44.1,2,volkswagen,29090735
28,Polo,2021,15250,Manual,17534,Petrol,51.4,1,volkswagen,27112815
29,Golf,2020,21400,Semi-Auto,24271,Hybrid,44.8,1.5,volkswagen,30421809
30,T-Cross,2021,20300,Manual,29800,Petrol,47.9,1,volkswagen,30227441
31,Golf,2020,19200,Semi-Auto,32577,Petrol,45.6,1.5,volkswagen,30511211
32,Up,2020,14300,Manual,36300,Petrol,53.3,1,volkswagen,28251183
33,Golf,2020,18900,Semi-Auto,37369,Hybrid,44.8,1.5,volkswagen,26837459
34,Polo,2019,17300,Semi-Auto,39933,Petrol,39.8,2,volkswagen,30451949
35,Passat,2018,15049,N/A,37639,Diesel,62.8,2.0,volkswagen,30603002
36,Tiguan,2019,18049,Manual,20944,Petrol,42.2,1.5,volkswagen,30429263
37,Passat,2022,29500,Semi-Auto,11833,Petrol,42.8,1.5,volkswagen,30102380
38,Tiguan Allspace,2021,34500,Semi-Auto,12100,Petrol,35.8,1.5,volkswagen,30421807
39,Polo,2020,15600,Manual,12764,Petrol,50.4,1,volkswagen,30312341
40,Golf,2020,18200,Manual,15022,Petrol,50.4,1.5,volkswagen,30582387
41,T-Cross,2019,17900,Manual,15896,Petrol,47.9,1,volkswagen,28422752
42,Polo,2021,15250,Manual,17534,Petrol,51.4,1,volkswagen,27112815
43,Golf,2021,20900,Manual,18500,Petrol,47.1,1.5,volkswagen,30549362
44,Tiguan,2021,32700,Semi-Auto,19331,Diesel,44.1,2,volkswagen,30511215
45,T-Roc,2020,20600,Manual,20377,Petrol,44.8,1.5,volkswagen,30364154
46,T-Roc,2020,19800,Manual,25144,Petrol,44.1,1,volkswagen,30446985
47,Passat,2020,23049,Semi-Auto,24810,Petrol,43.5,1.5,volkswagen,30572035
48,Golf,2019,15449,Manual,34936,Petrol,47.1,1.5,volkswagen,30572231
