,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,T-Cross,2021,19199,Manual,23969,Petrol,48.7,1.0,volkswagen,30466731
1,Beetle,2013,7995,Automatic,91461,Diesel,52.3,2.0,volkswagen,30250404
2,Golf,2023,46989,Semi-Auto,897,Petrol,36.2,2,volkswagen,30403527
3,Taigo,2022,19989,Manual,3701,Petrol,51.4,1,volkswagen,30192736
4,Polo,2022,17989,Manual,3742,Petrol,54.3,1,volkswagen,30186276
5,Golf,2022,43989,Semi-Auto,3849,Petrol,36.2,2,volkswagen,30462904
6,Taigo,2023,22989,Manual,5000,Petrol,52.3,1,volkswagen,30151880
7,Golf,2023,23989,Manual,5000,Petrol,52.3,1,volkswagen,30403513
8,Golf,2023,24989,Manual,5000,Petrol,51.4,1.5,volkswagen,29703026
9,Golf,2023,25989,Semi-Auto,5000,Hybrid,50.4,1.5,volkswagen,29860764
10,Taigo,2023,25989,Manual,5000,Petrol,51.4,1,volkswagen,29860765
11,Tiguan,2019,18599,Manual,30820,Petrol,38.2,1.5,volkswagen,30196637
12,Tiguan,2016,15499,Manual,52265,Diesel,58.9,2.0,volkswagen,30325202
13,Passat,2023,37989,Semi-Auto,5000,Diesel,56.5,2,volkswagen,30286912
14,Golf,2023,37989,Semi-Auto,5000,Petrol,38.2,2,volkswagen,29860768
15,Tiguan,2023,39989,Semi-Auto,5000,Diesel,49.6,2,volkswagen,30286910
16,ID3,2023,41655,Grey,Electric,Automatic,5000,,volkswagen,30286909
17,Arteon,2023,49989,Semi-Auto,5000,Petrol,31,2,volkswagen,30151883
18,Golf,2023,50989,Semi-Auto,5000,Petrol,36.2,2,volkswagen,29786737
19,Touareg,2023,64989,Semi-Auto,5000,Diesel,33.6,3,volkswagen,29860763
20,T-Roc,2022,29989,Manual,6087,Petrol,47.1,1.5,volkswagen,30017528
21,Up,2019,11989,Manual,6923,Petrol,52.3,1,volkswagen,30126335
22,T-Cross,2023,28989,Automatic,7500,Petrol,44.1,1.5,volkswagen,29703027
23,Golf,2019,25849,Semi-Auto,15078,Petrol,37.7,2.0,volkswagen,30531353
24,T-Cross,2019,16499,Manual,22974,Petrol,47.9,1.0,volkswagen,30148582
25,T-Roc,2022,29989,Manual,6087,Petrol,47.1,1.5,volkswagen,30017528
26,Up,2019,11989,Manual,6923,Petrol,52.3,1,volkswagen,30126335
27,Up,2022,17489,Manual,7391,Petrol,53.3,1,volkswagen,30409635
28,T-Cross,2023,28989,Automatic,7500,Petrol,44.1,1.5,volkswagen,29703027
29,T-Roc,2023,31489,Semi-Auto,7500,Diesel,57.7,2,volkswagen,29696744
30,Golf,2022,20989,Semi-Auto,8095,Petrol,52.3,1,volkswagen,29696737
31,Golf,2020,23989,Semi-Auto,8311,Hybrid,44.8,1.5,volkswagen,30505687
32,Golf,2022,27989,Semi-Auto,8964,Hybrid,None,1.4,volkswagen,29696732
33,Tiguan,2023,35989,Semi-Auto,9992,Diesel,45.6,2,volkswagen,29696740
