,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,T-Roc,2019,18049,Manual,30473,Diesel,50.4,1.6,volkswagen,30531292
1,Tiguan,2012,8699,Manual,85319,Diesel,48.7,2.0,volkswagen,30016791
2,Golf,2021,23489,Automatic,29104,Other,49.6,1.5,volkswagen,30332390
3,Golf,2015,11995,Manual,82000,Diesel,67.3,2.0,volkswagen,30562366
4,T-Cross,2019,16799,Manual,6066,Petrol,47.9,1.0,volkswagen,30178669
5,Up,2018,11299,Manual,8541,Petrol,52.3,1.0,volkswagen,30308219
6,T-Cross,2021,20799,Manual,9955,Petrol,43.5,1.0,volkswagen,30417329
7,Polo,2019,15049,Manual,10083,Petrol,52.3,1.0,volkswagen,30562724
8,T-Cross,2020,19349,Manual,10317,Petrol,47.9,1.0,volkswagen,30484643
9,Polo,2018,14049,Manual,10435,Petrol,64.2,1.0,volkswagen,30392938
10,Up,2019,9899,Manual,10465,Petrol,54.3,1.0,volkswagen,30312249
11,Tiguan,2020,19999,Manual,27433,Petrol,44.8,1.5,volkswagen,30389360
12,T-Roc,2021,18049,Manual,29672,Petrol,47.1,1.0,volkswagen,30389381
13,Passat,2020,20399,Manual,10470,Petrol,45.6,1.5,volkswagen,30476863
14,T-Cross,2022,22049,Automatic,10632,Petrol,45.6,1.0,volkswagen,30519607
15,T-Cross,2021,20299,Manual,11180,Petrol,48.7,1.0,volkswagen,30312222
16,Polo,2017,11899,Manual,11430,Petrol,60.1,1.0,volkswagen,30384614
17,T-Cross,2019,16849,Manual,11641,Petrol,48.7,1.0,volkswagen,30477041
18,Polo,2021,16049,Manual,11915,Petrol,51.4,1.0,volkswagen,30572093
19,Tiguan,2019,21589,Manual,12443,Petrol,38.2,1.5,volkswagen,30577538
20,T-Cross,2020,18049,Manual,12532,Petrol,47.9,1.0,volkswagen,30456347
21,Polo,2021,19249,Semi-Auto,12721,Petrol,46.3,1.0,volkswagen,30502727
22,Golf,2020,20049,Manual,12841,Petrol,49.6,1.5,volkswagen,30354453
23,Golf,2019,15399,Manual,36862,Diesel,55.4,1.6,volkswagen,30417117
24,Up,2018,9949,Manual,18159,Petrol,64.2,1.0,volkswagen,30498596
25,Up,2018,9699,Manual,13268,Petrol,64.2,1.0,volkswagen,30373372
26,Golf,2019,18299,Manual,13310,Petrol,50.4,1.5,volkswagen,30477079
27,T-Cross,2020,18049,Manual,13542,Petrol,48.7,1.0,volkswagen,30498581
28,Polo,2016,11699,Manual,13544,Petrol,58.9,1.0,volkswagen,30272321
29,Polo,2017,12049,Manual,13629,Petrol,60.1,1.0,volkswagen,30577514
30,Polo,2015,12399,Manual,13661,Petrol,60.1,1.2,volkswagen,30325307
31,Polo,2021,16699,Manual,13852,Petrol,51.4,1.0,volkswagen,30407476
32,Polo,2020,15199,Manual,13855,Petrol,51.4,1.0,volkswagen,30337803
33,Polo,2018,15699,Manual,13885,Petrol,60.1,1.0,volkswagen,30272244
34,T-Roc,2018,18949,Manual,14067,Petrol,44.1,1.0,volkswagen,30348618
35,Polo,2019,11999,Manual,57124,Petrol,52.3,1.0,volkswagen,30354620
36,Polo,2019,13849,Manual,19181,Petrol,48.7,1.0,volkswagen,30531284
37,Golf,2019,25849,Semi-Auto,15078,Petrol,37.7,2.0,volkswagen,30531353
38,Polo,2021,18749,Semi-Auto,15117,Petrol,46.3,1.0,volkswagen,30476942
39,Polo,2020,16049,Manual,15223,Petrol,50.4,1.0,volkswagen,30417344
40,T-Roc,2019,19049,Manual,15479,Diesel,50.4,1.6,volkswagen,30551689
41,T-Roc,2020,21399,Manual,15553,Petrol,44.8,1.5,volkswagen,30281336
42,Passat,2019,19249,Semi-Auto,15911,Petrol,41.5,1.5,volkswagen,30251155
43,Polo,2018,13749,Manual,16027,Petrol,64.2,1.0,volkswagen,30251258
44,Polo,2021,19099,Semi-Auto,16196,Petrol,51.4,1.0,volkswagen,30480217
45,Polo,2021,15699,Manual,16509,Petrol,50.4,1.0,volkswagen,30281311
46,Polo,2021,16299,Manual,16546,Petrol,50.4,1.0,volkswagen,30456360
47,T-Roc,2019,17349,Manual,31473,Petrol,44.1,1.0,volkswagen,30261018
48,Golf,2018,15299,Manual,40576,Petrol,45.6,1.5,volkswagen,30272326
49,Golf,2019,19899,Semi-Auto,16625,Petrol,43.5,1.5,volkswagen,30476759
50,Polo,2018,14349,Manual,16678,Petrol,52.3,1.0,volkswagen,30251332
51,T-Cross,2020,22549,Automatic,16683,Petrol,45.6,1.0,volkswagen,30551740
52,Golf,2020,18849,Manual,16859,Petrol,49.6,1.5,volkswagen,30250938
53,Up,2017,8749,Manual,17157,Petrol,64.2,1.0,volkswagen,30312161
54,T-Cross,2020,17449,Manual,17419,Petrol,48.7,1.0,volkswagen,30267280
55,Polo,2021,15449,Manual,17591,Petrol,51.4,1.0,volkswagen,30417120
56,Up,2017,10349,Manual,17932,Petrol,64.2,1.0,volkswagen,30384547
57,Golf,2020,20099,Manual,17951,Petrol,49.6,1.5,volkswagen,30477036
58,Polo,2019,18599,Semi-Auto,18136,Petrol,39.8,2.0,volkswagen,30337849
59,Polo,2021,15849,Manual,25337,Petrol,47.9,1.0,volkswagen,30531508
60,Up,2017,10049,Manual,29521,Petrol,64.2,1.0,volkswagen,30480188
61,Up,2018,9949,Manual,18159,Petrol,64.2,1.0,volkswagen,30498596
62,Golf,2019,13849,Manual,18187,Petrol,49.6,1.0,volkswagen,30384329
63,T-Roc,2020,21449,Manual,18227,Petrol,44.8,1.5,volkswagen,30290022
64,T-Roc,2020,18099,Manual,18290,Petrol,44.8,1.0,volkswagen,30477034
65,Up,2018,8949,Manual,18586,Petrol,64.2,1.0,volkswagen,30281067
66,Polo,2017,12349,Manual,18834,Petrol,60.1,1.2,volkswagen,30281381
67,Golf,2019,16549,Manual,18897,Petrol,49.6,1.0,volkswagen,30490059
68,T-Cross,2019,16699,Manual,18963,Petrol,48.7,1.0,volkswagen,30429252
69,Polo,2019,13849,Manual,19181,Petrol,48.7,1.0,volkswagen,30531284
70,Up,2018,10099,Manual,19244,Petrol,54.3,1.0,volkswagen,30267254
71,Tiguan,2018,21899,Semi-Auto,38580,Diesel,39.8,2.0,volkswagen,30498644
72,Polo,2019,12849,Manual,36755,Petrol,48.7,1.0,volkswagen,30551665
73,Up,2020,10699,Manual,19396,Petrol,54.3,1.0,volkswagen,30531318
74,Up,2019,11549,Manual,19433,Petrol,55.4,1.0,volkswagen,30389371
75,Up,2018,10049,Manual,19686,Petrol,64.2,1.0,volkswagen,30281269
76,Polo,2020,16849,Manual,19691,Petrol,51.4,1.0,volkswagen,30456314
77,Polo,2019,19049,Semi-Auto,19705,Petrol,39.8,2.0,volkswagen,30251179
78,Polo,2021,15799,Manual,20125,Petrol,47.9,1.0,volkswagen,30477038
79,Polo,2016,10899,Manual,20133,Petrol,60.1,1.0,volkswagen,30448061
80,Tiguan,2019,20499,Manual,20465,Petrol,40.9,1.5,volkswagen,30466716
81,Tiguan,2019,27299,Semi-Auto,20750,Petrol,31.4,2.0,volkswagen,30384340
82,Golf,2020,18599,Manual,20790,Petrol,49.6,1.5,volkswagen,30557530
83,Tiguan,2017,16499,Manual,51493,Diesel,58.9,2.0,volkswagen,30480251
84,Polo,2021,16699,Manual,13852,Petrol,51.4,1.0,volkswagen,30407476
85,Tiguan,2020,27599,Semi-Auto,20926,Petrol,36.7,1.5,volkswagen,30456361
86,T-Cross,2021,20199,Manual,20933,Petrol,48.7,1.0,volkswagen,30498584
87,T-Roc,2018,19499,Manual,20981,Petrol,53.3,1.5,volkswagen,30401206
88,Up,2017,10249,Manual,21159,Petrol,60.1,1.0,volkswagen,30367085
89,Polo,2018,13499,Manual,21176,Petrol,64.2,1.0,volkswagen,30417141
90,Polo,2018,13049,Manual,21251,Petrol,64.2,1.0,volkswagen,30260979
91,Passat,2020,21899,Semi-Auto,21325,Petrol,40.9,1.5,volkswagen,30490072
92,Up,2018,12799,Manual,21407,Petrol,50.4,1.0,volkswagen,30201129
93,T-Cross,2020,17899,Manual,21522,Petrol,47.9,1.0,volkswagen,30367162
94,Polo,2017,17299,Semi-Auto,21634,Petrol,50.4,1.8,volkswagen,30307249
95,Golf,2020,20099,Manual,17951,Petrol,49.6,1.5,volkswagen,30477036
96,Golf,2019,21799,Semi-Auto,40018,Diesel,49.6,2.0,volkswagen,30417038
97,T-Roc,2019,22299,Manual,21765,Petrol,42.2,1.5,volkswagen,30178599
98,T-Cross,2021,18299,Manual,21916,Petrol,48.7,1.0,volkswagen,30384665
99,Passat,2019,19699,Manual,21931,Diesel,53.3,2.0,volkswagen,30514540
100,Golf,2018,16049,Manual,21983,Petrol,58.9,1.5,volkswagen,30407527
101,Polo,2021,15349,Manual,21994,Petrol,51.4,1.0,volkswagen,30519512
102,Touareg,2019,31799,Semi-Auto,22115,Diesel,34.9,3.0,volkswagen,30466738
103,Polo,2019,18249,Semi-Auto,22301,Petrol,46.3,1.0,volkswagen,30557519
104,Polo,2020,13749,Manual,22483,Petrol,48.7,1.0,volkswagen,30251020
105,Golf,2020,19599,Manual,22612,Petrol,49.6,1.5,volkswagen,30477057
106,Polo,2021,16049,Manual,22979,Petrol,47.9,1.0,volkswagen,30519633
107,Up,2017,8149,Manual,45654,Petrol,64.2,1.0,volkswagen,30587973
108,Polo,2020,13699,Manual,38069,Petrol,47.9,1.0,volkswagen,30299749
109,Golf,2021,19649,Manual,23070,Petrol,51.4,1.5,volkswagen,30308248
110,Golf,2019,20699,Semi-Auto,23715,Diesel,52.3,2.0,volkswagen,30438142
111,T-Roc,2018,19949,Manual,23945,Petrol,42.2,1.5,volkswagen,30289984
112,Polo,2019,13799,Manual,24196,Petrol,48.7,1.0,volkswagen,30367093
113,Polo,2020,14649,Manual,24422,Petrol,52.3,1.0,volkswagen,30401208
114,Passat,2020,19399,Manual,24489,Petrol,45.6,1.5,volkswagen,30354460
