,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Golf,2020,22549,Semi-Auto,46328,Petrol,47.1,1.5,volkswagen,30531470
1,Polo,2013,5995,Automatic,86853,Petrol,47.9,1.4,volkswagen,29403183
2,Golf,2020,13999,Manual,41914,Petrol,50.4,1.5,volkswagen,30272593
3,Golf,2021,28995,Automatic,11435,Diesel,54.3,2.0,volkswagen,30246152
4,Polo,2017,13995,Automatic,12968,Petrol,60.1,1.2,volkswagen,30346646
5,Tiguan,2021,24995,Automatic,18746,Petrol,40.4,1.5,volkswagen,30183655
6,Polo,2018,14995,Automatic,23045,Petrol,61.4,1.0,volkswagen,30148439
7,Golf,2016,12295,Manual,26015,Petrol,53.3,1.4,volkswagen,30539098
8,Polo,2018,11995,Manual,33511,Petrol,48.7,1.0,volkswagen,30324969
9,Golf,2018,15995,Manual,40021,Petrol,55.4,1.5,volkswagen,30539092
10,Polo,2014,7595,Manual,44408,Petrol,51.4,1.2,volkswagen,30539097
11,Golf,2019,16049,Semi-Auto,44302,Diesel,54.3,1.6,volkswagen,30354551
12,CC,2016,11849,Semi-Auto,57012,Diesel,58.9,2.0,volkswagen,30421762
13,Golf,2018,12795,Manual,45049,Petrol,58.9,1.0,volkswagen,30562585
14,Polo,2011,5995,Manual,51564,Petrol,51.4,1.2,volkswagen,30539095
15,Polo,2016,7995,Manual,53727,Petrol,60.1,1.0,volkswagen,30324976
16,Polo,2013,6995,Manual,57978,Petrol,51.4,1.2,volkswagen,30324960
17,Polo,2013,6495,Manual,64683,Petrol,51.4,1.2,volkswagen,30582054
18,Touareg,2018,24595,Automatic,83691,Diesel,34.9,3.0,volkswagen,30557056
19,Golf,2012,7499,Automatic,81362,Diesel,62.8,1.6,volkswagen,29654938
20,T-Roc,2018,18000,Manual,53000,Petrol,53.3,1.5,volkswagen,29125004
21,Polo,2011,5999,Manual,69000,Petrol,47.9,1.39,volkswagen,30402804
22,Golf,2016,10977,Manual,82000,Diesel,74.3,1.6,volkswagen,27504043
23,T-Roc,2019,17249,Manual,29412,Petrol,44.8,1.0,volkswagen,30429271
24,T-Roc,2018,20549,Manual,47720,Petrol,53.3,1.5,volkswagen,30460811
