,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Golf,2019,13849,Manual,18187,Petrol,49.6,1.0,volkswagen,30384329
1,Up,2018,11299,Manual,8541,Petrol,52.3,1.0,volkswagen,30308219
2,T-Roc,2021,27049,Semi-Auto,9602,Petrol,40.4,1.5,volkswagen,30132511
3,Polo,2021,16549,Manual,11596,Petrol,47.9,1.0,volkswagen,30424989
4,Golf,2019,18549,Manual,11844,Petrol,45.6,1.5,volkswagen,30490118
5,Polo,2018,14449,Manual,13178,Petrol,64.2,1.0,volkswagen,30466745
6,Golf,2021,20549,Manual,13590,Petrol,52.3,1.0,volkswagen,30531510
7,Polo,2015,12399,Manual,13661,Petrol,60.1,1.2,volkswagen,30325307
8,Golf,2019,25849,Semi-Auto,15078,Petrol,37.7,2.0,volkswagen,30531353
9,Tiguan,2020,22499,Manual,15458,Petrol,38.2,1.5,volkswagen,30392909
10,Up,2018,12999,Manual,16549,Petrol,50.4,1.0,volkswagen,30161852
11,Polo,2020,13549,Manual,53149,Petrol,50.4,1.0,volkswagen,30546338
12,T-Roc,2018,18949,Manual,43527,Diesel,56.5,2.0,volkswagen,30312267
13,T-Cross,2021,20299,Manual,11180,Petrol,48.7,1.0,volkswagen,30312222
14,Golf SV,2017,14949,Semi-Auto,47531,Diesel,65.7,2.0,volkswagen,30466767
15,Golf,2020,20049,Manual,12841,Petrol,49.6,1.5,volkswagen,30354453
16,Polo,2018,14449,Manual,13178,Petrol,64.2,1.0,volkswagen,30466745
17,Up,2018,9699,Manual,13268,Petrol,64.2,1.0,volkswagen,30373372
18,Golf,2019,18299,Manual,13310,Petrol,50.4,1.5,volkswagen,30477079
19,T-Cross,2020,18049,Manual,13542,Petrol,48.7,1.0,volkswagen,30498581
20,Polo,2016,11699,Manual,13544,Petrol,58.9,1.0,volkswagen,30272321
21,Golf,2021,20549,Manual,13590,Petrol,52.3,1.0,volkswagen,30531510
22,Polo,2015,12399,Manual,13661,Petrol,60.1,1.2,volkswagen,30325307
23,Polo,2021,16699,Manual,13852,Petrol,51.4,1.0,volkswagen,30407476
24,Polo,2020,15199,Manual,13855,Petrol,51.4,1.0,volkswagen,30337803
25,Golf,2020,20099,Manual,17951,Petrol,49.6,1.5,volkswagen,30477036
26,Golf,2017,13549,Manual,49549,Diesel,61.4,1.6,volkswagen,30498604
27,Tiguan,2019,14299,Manual,64186,Diesel,50.4,2.0,volkswagen,30103806
28,Polo,2017,14299,Semi-Auto,23050,Petrol,61.4,1.4,volkswagen,30161884
29,Polo,2018,12699,Manual,24248,Petrol,64.2,1.0,volkswagen,30155583
30,T-Roc,2020,26049,Semi-Auto,24517,Petrol,41.5,1.5,volkswagen,30531255
31,Up,2017,8999,Manual,24631,Petrol,64.2,1.0,volkswagen,30312248
32,Polo,2018,13449,Manual,25219,Petrol,52.3,1.0,volkswagen,30325217
33,Polo,2021,16049,Manual,25337,Petrol,47.9,1.0,volkswagen,30531508
34,Tiguan,2019,20049,Manual,25438,Petrol,40.9,1.5,volkswagen,30507592
35,Polo,2020,15049,Manual,25518,Petrol,51.4,1.0,volkswagen,30490088
36,T-Cross,2020,17799,Manual,25790,Petrol,47.9,1.0,volkswagen,30448036
37,Golf,2018,17299,Semi-Auto,26080,Diesel,67.3,2.0,volkswagen,30155499
38,Passat,2020,20399,Manual,10470,Petrol,45.6,1.5,volkswagen,30476863
