,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Passat,2019,16599,Manual,26835,Diesel,54.3,2.0,volkswagen,30480278
1,Tiguan,2020,22499,Manual,15458,Petrol,38.2,1.5,volkswagen,30392909
2,Up,2018,12999,Manual,16549,Petrol,50.4,1.0,volkswagen,30161852
3,T-Cross,2020,18049,Manual,16872,Petrol,47.9,1.0,volkswagen,30477130
4,T-Cross,2020,18549,Manual,16933,Petrol,47.9,1.0,volkswagen,30424990
5,Golf,2019,15899,Manual,17125,Diesel,57.7,1.6,volkswagen,30438222
6,Up,2017,8749,Manual,17157,Petrol,64.2,1.0,volkswagen,30312161
7,T-Cross,2019,19049,Manual,17282,Petrol,47.9,1.0,volkswagen,30531433
8,Golf,2019,20499,Semi-Auto,17437,Petrol,43.5,1.5,volkswagen,30132464
9,Golf,2020,19899,Manual,17713,Petrol,47.1,1.5,volkswagen,30447858
10,Polo,2021,15549,Manual,17804,Petrol,52.3,1.0,volkswagen,30095381
11,T-Roc,2020,24049,Semi-Auto,40691,Petrol,41.5,1.5,volkswagen,30451801
12,Up,2019,11549,Manual,19433,Petrol,55.4,1.0,volkswagen,30389371
13,T-Cross,2020,18049,Manual,12532,Petrol,47.9,1.0,volkswagen,30456347
14,Tiguan,2019,20499,Manual,12691,Petrol,40.9,1.5,volkswagen,30325176
15,Polo,2021,19249,Semi-Auto,12721,Petrol,46.3,1.0,volkswagen,30502727
16,Polo,2020,14999,Manual,12788,Petrol,52.3,1.0,volkswagen,30281423
17,Golf,2020,20049,Manual,12841,Petrol,49.6,1.5,volkswagen,30354453
18,Polo,2018,14449,Manual,13178,Petrol,64.2,1.0,volkswagen,30466745
19,Up,2018,9699,Manual,13268,Petrol,64.2,1.0,volkswagen,30373372
20,Golf,2019,18299,Manual,13310,Petrol,50.4,1.5,volkswagen,30477079
21,T-Cross,2020,18049,Manual,13542,Petrol,48.7,1.0,volkswagen,30498581
22,Polo,2016,11699,Manual,13544,Petrol,58.9,1.0,volkswagen,30272321
23,Golf,2019,16099,Manual,26753,Petrol,51.4,1.0,volkswagen,30317296
24,Up,2017,7349,Manual,50632,Petrol,64.2,1.0,volkswagen,30201036
25,Golf,2021,20549,Manual,13590,Petrol,52.3,1.0,volkswagen,30531510
26,Polo,2015,12399,Manual,13661,Petrol,60.1,1.2,volkswagen,30325307
27,Polo,2021,16699,Manual,13852,Petrol,51.4,1.0,volkswagen,30407476
28,Polo,2020,15199,Manual,13855,Petrol,51.4,1.0,volkswagen,30337803
29,Polo,2018,15699,Manual,13885,Petrol,60.1,1.0,volkswagen,30272244
30,T-Roc,2018,18949,Manual,14067,Petrol,44.1,1.0,volkswagen,30348618
31,Polo,2017,12599,Manual,14089,Petrol,60.1,1.2,volkswagen,30551658
32,T-Roc,2021,24349,Manual,14693,Diesel,58.9,2.0,volkswagen,30307968
33,Polo,2021,16749,Manual,14699,Petrol,47.9,1.0,volkswagen,30562785
34,Polo,2021,20999,Semi-Auto,14907,Petrol,41.5,2.0,volkswagen,30233529
35,Polo,2019,16049,Semi-Auto,31346,Petrol,45.6,1.0,volkswagen,30514578
36,Polo,2018,15049,Manual,32883,Petrol,60.1,1.0,volkswagen,30485018
37,Golf,2019,25849,Semi-Auto,15078,Petrol,37.7,2.0,volkswagen,30531353
38,Polo,2021,18749,Semi-Auto,15117,Petrol,46.3,1.0,volkswagen,30476942
39,Polo,2020,16049,Manual,15223,Petrol,50.4,1.0,volkswagen,30417344
40,Tiguan,2020,22499,Manual,15458,Petrol,38.2,1.5,volkswagen,30392909
