,model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
0,Golf,2019,16349,Manual,32283,Petrol,47.1,1.5,volkswagen,30507538
1,T-Cross,2023,20492,Manual,6122,Petrol,49.6,1,volkswagen,30409976
2,Taigo,2022,19494,Manual,9964,Petrol,51.4,1,volkswagen,30098035
3,Polo,2020,17743,Semi-Auto,10208,Petrol,46.3,1,volkswagen,30275149
4,T-Roc,2021,22994,Manual,15154,Petrol,42.8,1.5,volkswagen,27841037
5,Golf,2021,28994,Semi-Auto,18899,Diesel,54.3,2,volkswagen,30126666
6,Polo,2018,12496,Manual,28424,Petrol,64.2,1,volkswagen,30224442
7,Polo,2015,12500,Automatic,4561,Petrol,60.1,1.2,volkswagen,30383829
8,Up,2012,5995,Manual,30467,Petrol,62.8,1.0,volkswagen,30365481
9,Up,2014,7295,Manual,35533,Petrol,60.1,1.0,volkswagen,29678970
10,Polo,2018,15499,Manual,14024,Petrol,49.6,1.0,volkswagen,29740415
11,Golf,2019,15449,Manual,34936,Petrol,47.1,1.5,volkswagen,30572231
12,Arteon,2018,20049,Semi-Auto,50096,Diesel,62.8,2.0,volkswagen,30429258
13,Polo,2020,14499,Manual,24191,Petrol,48.7,1.0,volkswagen,30033861
14,Golf,2019,17000,Automatic,41447,Diesel,54.3,1.6,volkswagen,30301383
15,Golf,2019,16800,Manual,43706,Petrol,51.4,1.0,volkswagen,30115412
16,Touran,2015,10990,Semi-Auto,50407,Diesel,54.3,2,volkswagen,30319491
17,T-Roc,2020,20704,Manual,33526,Diesel,50.4,2.0,volkswagen,30523213
18,Passat,2016,14369,Automatic,72132,Diesel,61.4,2.0,volkswagen,30395084
19,Golf,2017,12999,Manual,21273,Petrol,65.7,1.0,volkswagen,29417742
20,Golf,2014,12999,Automatic,28640,Petrol,56.5,1.4,volkswagen,30235974
21,Up,2014,6299,Manual,43306,Petrol,67.3,1.0,volkswagen,28865156
22,Polo,2010,6299,Manual,46827,Petrol,47.9,1.4,volkswagen,30198078
23,Golf,2019,20699,Semi-Auto,23715,Diesel,52.3,2.0,volkswagen,30438142
24,Up,2018,10049,Manual,29186,Petrol,64.2,1.0,volkswagen,30514509
25,Up,2014,6699,Manual,51615,Petrol,60.1,1.0,volkswagen,30462530
26,Polo,2017,9499,Manual,58051,Petrol,60.1,1.0,volkswagen,30487221
27,Up,2015,5799,Manual,62833,Petrol,62.8,1.0,volkswagen,30027138
28,Polo,2015,7999,Manual,64251,Petrol,None,1.0,volkswagen,30479434
29,Polo,2015,8499,Manual,64651,Petrol,60.1,1.2,volkswagen,30235984
30,Beetle,2015,8799,Manual,74951,Diesel,61.4,2.0,volkswagen,29785978
31,Polo,2015,7899,Manual,83286,Petrol,60.1,1.2,volkswagen,30121069
32,Tiguan,2021,31510,Automatic,23922,Diesel,47.1,2.0,volkswagen,30612722
33,Golf,2019,16160,Automatic,24826,Petrol,41.5,1.0,volkswagen,30501514
34,Tiguan,2015,13130,Automatic,56636,Diesel,49.6,2.0,volkswagen,30585212
35,T-Cross,2019,16549,Manual,26294,Petrol,47.9,1.0,volkswagen,30507604
36,T-Cross,2020,22549,Automatic,16683,Petrol,45.6,1.0,volkswagen,30551740
37,Caravelle,2012,27499,Automatic,60645,Diesel,34.9,2.0,volkswagen,30517587
38,Golf,2014,12499,Semi-Auto,18748,Petrol,56.5,1.39,volkswagen,30375129
39,Polo,2016,9499,Manual,42822,Petrol,60.1,1,volkswagen,30110038
40,Polo,2017,11999,Semi-Auto,43806,Petrol,60.1,1.2,volkswagen,30026129
41,Golf,2016,10499,Manual,56622,Diesel,74.3,1.6,volkswagen,30350243
42,Beetle,2013,12799,Manual,57375,Petrol,41.5,1.39,volkswagen,30440863
43,Golf,2017,12299,Manual,57906,Petrol,65.7,1,volkswagen,30016996
44,Passat,2018,14499,Manual,58661,Diesel,51.4,2,volkswagen,30274193
